CIK,FILINGMANAGER_NAME,PERIODOFREPORT,FILING_DATE,SUBMISSIONTYPE,ISAMENDMENT,TABLEVALUETOTAL,TABLEENTRYTOTAL,ISCONFIDENTIALOMITTED,NAMEOFISSUER,CUSIP,TITLEOFCLASS,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,INVESTMENTDISCRETION,weight
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ENERGY S&P SECTOR,81369Y506,COM,947000,16456,SH,SOLE,0.004197956
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,EXXON MOBIL CORP,30231G102,COM,6921000,103335,SH,SOLE,0.030680095
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,FIRST FINANCIAL CORP-IND,320218100,COM,1412000,48753,SH,SOLE,0.006259254
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,GENERAL ELECTRIC CO,369604103,COM,5516000,303088,SH,SOLE,0.024451872
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,HEALTH CARE REIT INC,42217K106,COM,222000,4900,SH,SOLE,0.000984104
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,HONDA MOTOR ADR,438128308,COM,301000,8525,SH,SOLE,0.001334303
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,HUMANA INC,444859102,COM,224000,4794,SH,SOLE,0.000992969
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ILLINOIS TOOL WORKS INC,452308109,COM,1600000,33774,SH,SOLE,0.007092639
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,INDUSTRIAL S&P SECTOR,81369Y704,COM,289000,9237,SH,SOLE,0.001281108
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,INTEGRA BANK CORPORATION,45814P105,COM,7000,11675,SH,SOLE,3.10E-05
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,INTEL CORP,458140100,COM,227000,10170,SH,SOLE,0.001006268
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,INTERNATIONAL BUSINESS MACHINE,459200101,COM,6786000,52916,SH,SOLE,0.030081654
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ISHARES S&P GLOBAL HLTHCARE,464287325,COM,275000,5240,SH,SOLE,0.001219047
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ISHARES TR S&P SMALLCAP 600 GT,464287887,COM,1539000,25121,SH,SOLE,0.006822232
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ISHARES TRUST MSCI EAFE INDEX,464287465,COM,834000,14904,SH,SOLE,0.003697038
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ISHARES TRUST S&P SMALLCAP 600,464287804,COM,215000,3623,SH,SOLE,0.000953073
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,JOHNSON & JOHNSON,478160104,COM,11142000,170885,SH,SOLE,0.049391363
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,JPMORGAN CHASE & CO,46625H100,COM,477000,10656,SH,SOLE,0.002114493
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,KINDER MORGAN MANAGEMENT LLC,49455U100,COM,9879000,168526,SH,SOLE,0.043792611
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,LINEAR TECHNOLOGY CORP,535678106,COM,2764000,97850,SH,SOLE,0.012252533
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,LOWES COMPANIES INC,548661107,COM,1294000,53395,SH,SOLE,0.005736172
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,MCDONALDS CORP,580135101,COM,9115000,136614,SH,SOLE,0.040405876
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,MERCK & CO INC,58933Y105,COM,303000,8105,SH,SOLE,0.001343168
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,MICROSOFT CORP,594918104,COM,2735000,93375,SH,SOLE,0.012123979
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,NESTLE S A REG ADR,641069406,COM,6339000,123809,SH,SOLE,0.028100148
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,NEXTERA ENERGY INC COM,65339F101,COM,2814000,58225,SH,SOLE,0.012474178
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,NIKE,654106103,COM,1180000,16050,SH,SOLE,0.005230821
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,NORTHERN TRUST CORP,665859104,COM,1757000,31794,SH,SOLE,0.007788604
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,NOVO-NORDISK A/S-SPONS ADR,670100205,COM,1078000,13975,SH,SOLE,0.004778665
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,OLD NATIONAL BANCORP-IND,680033107,COM,618000,51681,SH,SOLE,0.002739532
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,PAYCHEX INC,704326107,COM,3710000,120773,SH,SOLE,0.016446056
